#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
#128,65536,LLaMA-70B-GQA,64,1,8,1,8,1,2,1,10,1,partial+fc1,60.95,6.71,6.71,46.22,0.00,1.31,0.00,0.00,2.14%
128,65536,Mixtral-8x7B,64,1,1,4,4,4,8,1,8,1,partial+fc1,47.12,20.56,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,65536,Mixtral-8x7B,64,1,2,2,4,1,8,1,8,1,partial+fc1,60.46,33.91,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,65536,Mixtral-8x7B,64,1,4,1,4,1,8,1,8,1,partial+fc1,43.51,16.95,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,1,8,4,2,4,1,8,1,partial+fc1,62.87,36.31,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,1,8,4,4,4,1,8,1,partial+fc1,47.12,20.56,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,1,8,4,8,4,1,8,1,partial+fc1,39.24,12.69,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,1,8,8,2,2,1,4,1,partial+fc1,48.61,19.62,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,1,8,8,4,2,1,4,1,partial+fc1,40.74,11.75,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,1,8,8,8,2,1,4,1,partial+fc1,36.80,7.81,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,1,8,16,1,1,1,2,1,partial+fc1,53.01,19.15,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,1,8,16,2,1,1,2,1,partial+fc1,45.13,11.28,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,1,8,16,4,1,1,2,1,partial+fc1,41.20,7.34,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,1,8,16,8,1,1,2,1,partial+fc1,39.23,5.37,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,2,4,4,1,4,1,8,1,partial+fc1,60.46,33.91,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,2,4,8,1,2,1,4,1,partial+fc1,46.67,17.69,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,2,4,16,1,1,1,2,1,partial+fc1,43.43,9.58,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,4,1,8,1,4,1,4,1,partial+fc1,62.39,8.84,4.42,43.88,0.00,5.25,0.00,0.00,17.95%
128,131072,Mixtral-8x7B,32,1,4,2,4,1,4,1,8,1,partial+fc1,43.51,16.95,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,4,2,8,1,2,1,4,1,partial+fc1,37.83,8.84,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,4,2,16,1,1,1,2,1,partial+fc1,38.64,4.79,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,131072,Mixtral-8x7B,32,1,8,1,4,1,4,1,8,1,partial+fc1,35.03,8.48,4.24,19.69,0.00,2.62,0.00,0.00,4.48%
128,131072,Mixtral-8x7B,32,1,8,1,8,1,2,1,4,1,partial+fc1,33.41,4.42,4.42,21.94,0.00,2.62,0.00,0.00,9.86%
128,131072,Mixtral-8x7B,32,1,8,1,16,1,1,1,2,1,partial+fc1,36.25,2.39,4.79,26.44,0.00,2.62,0.00,0.00,18.99%
128,262144,Mixtral-8x7B,16,1,1,8,4,8,4,1,8,1,partial+fc1,61.55,12.69,4.24,39.38,0.00,5.25,0.00,0.00,8.57%
128,262144,Mixtral-8x7B,16,1,1,8,8,8,2,1,4,1,partial+fc1,61.36,7.81,4.42,43.88,0.00,5.25,0.00,0.00,17.95%
128,262144,Mixtral-8x7B,16,1,4,2,8,1,2,1,4,1,partial+fc1,62.39,8.84,4.42,43.88,0.00,5.25,0.00,0.00,17.95%
128,262144,Mixtral-8x7B,16,1,8,1,4,1,4,1,8,1,partial+fc1,57.34,8.48,4.24,39.38,0.00,5.25,0.00,0.00,8.57%
128,262144,Mixtral-8x7B,16,1,8,1,8,1,2,1,4,1,partial+fc1,57.97,4.42,4.42,43.88,0.00,5.25,0.00,0.00,17.95%
128,65536,Mixtral-8x22B,64,1,1,8,8,8,2,1,7,1,partial+fc1,59.55,19.66,12.79,25.60,0.00,1.50,0.00,0.00,3.03%
128,65536,Mixtral-8x22B,64,1,8,1,8,1,2,1,7,1,partial+fc1,52.68,12.79,12.79,25.60,0.00,1.50,0.00,0.00,3.03%
