#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,262144,LLaMA-70B-GQA,16,1,2,4,16,1,2,1,1,5,full,66.99,14.89,3.72,40.00,0.00,8.38,0.00,0.00,65.22%
256,262144,LLaMA-70B-GQA,16,1,4,2,8,1,4,1,1,10,full,65.15,13.42,3.36,40.00,0.00,8.38,0.00,0.00,63.64%
256,262144,LLaMA-70B-GQA,16,1,4,2,16,1,2,1,1,5,full,59.54,7.44,3.72,40.00,0.00,8.38,0.00,0.00,65.22%
256,262144,LLaMA-70B-GQA,16,1,8,1,4,1,8,1,1,20,full,64.23,12.69,3.17,40.00,0.00,8.38,0.00,0.00,60.00%
256,262144,LLaMA-70B-GQA,16,1,8,1,8,1,4,1,1,10,full,58.44,6.71,3.36,40.00,0.00,8.38,0.00,0.00,63.64%
256,262144,LLaMA-70B-GQA,16,1,8,1,16,1,2,1,1,5,full,55.82,3.72,3.72,40.00,0.00,8.38,0.00,0.00,65.22%
256,65536,LLaMA-150B-GQA,64,1,1,8,32,1,1,1,1,3,full,63.83,34.54,8.64,18.00,0.00,2.66,0.00,0.00,32.63%
256,65536,LLaMA-150B-GQA,64,1,2,2,32,1,2,1,1,3,full,67.22,17.27,8.64,36.00,0.00,5.31,0.00,0.00,49.21%
256,65536,LLaMA-150B-GQA,64,1,2,4,32,1,1,1,1,3,full,46.56,17.27,8.64,18.00,0.00,2.66,0.00,0.00,32.63%
256,65536,LLaMA-150B-GQA,64,1,2,4,16,1,2,1,1,6,full,58.33,30.14,7.53,18.00,0.00,2.66,0.00,0.00,31.91%
256,65536,LLaMA-150B-GQA,64,1,4,1,32,1,2,1,1,3,full,58.58,8.64,8.64,36.00,0.00,5.31,0.00,0.00,49.21%
256,65536,LLaMA-150B-GQA,64,1,4,1,16,1,4,1,1,6,full,63.92,15.07,7.53,36.00,0.00,5.31,0.00,0.00,48.39%
256,65536,LLaMA-150B-GQA,64,1,4,2,32,1,1,1,1,3,full,37.93,8.64,8.64,18.00,0.00,2.66,0.00,0.00,32.63%
256,65536,LLaMA-150B-GQA,64,1,4,2,8,1,4,1,1,12,full,55.58,27.94,6.98,18.00,0.00,2.66,0.00,0.00,30.43%
256,65536,LLaMA-150B-GQA,64,1,4,2,16,1,2,1,1,6,full,43.26,15.07,7.53,18.00,0.00,2.66,0.00,0.00,31.91%
256,65536,LLaMA-150B-GQA,64,1,8,1,32,1,1,1,1,3,full,33.61,4.32,8.64,18.00,0.00,2.66,0.00,0.00,32.63%
256,65536,LLaMA-150B-GQA,64,1,8,1,4,1,8,1,1,24,full,54.20,26.84,6.71,18.00,0.00,2.66,0.00,0.00,27.27%
256,65536,LLaMA-150B-GQA,64,1,8,1,8,1,4,1,1,12,full,41.61,13.97,6.98,18.00,0.00,2.66,0.00,0.00,30.43%
256,65536,LLaMA-150B-GQA,64,1,8,1,16,1,2,1,1,6,full,35.73,7.53,7.53,18.00,0.00,2.66,0.00,0.00,31.91%
