#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,65536,LLaMA-70B-GQA,64,1,4,8,8,1,1,1,10,1,no,62.32,13.42,3.36,45.54,0.00,0.00,0.00,0.00,1.08%
256,65536,LLaMA-70B-GQA,64,1,8,4,8,1,1,1,10,1,no,55.60,6.71,3.36,45.54,0.00,0.00,0.00,0.00,1.08%
256,65536,LLaMA-70B-GQA,64,1,8,4,4,1,2,1,20,1,no,59.30,12.69,3.17,43.45,0.00,0.00,0.00,0.00,0.47%
256,65536,Mixtral-8x7B,64,1,1,16,4,4,4,1,8,1,no,52.76,20.56,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,65536,Mixtral-8x7B,64,1,1,16,4,8,4,1,8,1,no,44.89,12.69,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,65536,Mixtral-8x7B,64,1,1,16,8,2,2,1,4,1,no,55.35,19.62,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,1,16,8,4,2,1,4,1,no,47.48,11.75,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,1,16,8,8,2,1,4,1,no,43.54,7.81,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,1,16,16,1,1,1,2,1,no,61.94,19.15,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,1,16,16,2,1,1,2,1,no,54.07,11.28,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,1,16,16,4,1,1,2,1,no,50.13,7.34,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,1,16,16,8,1,1,2,1,no,48.16,5.37,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,2,8,8,1,2,1,4,1,no,53.41,17.69,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,2,8,16,1,1,1,2,1,no,52.36,9.58,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,4,4,4,1,4,1,8,1,no,49.15,16.95,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,65536,Mixtral-8x7B,64,1,4,4,8,1,2,1,4,1,no,44.57,8.84,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,4,4,16,1,1,1,2,1,no,47.57,4.79,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,65536,Mixtral-8x7B,64,1,8,2,4,1,4,1,8,1,no,40.67,8.48,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,65536,Mixtral-8x7B,64,1,8,2,8,1,2,1,4,1,no,40.15,4.42,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,65536,Mixtral-8x7B,64,1,8,2,16,1,1,1,2,1,no,45.18,2.39,2.39,40.39,0.00,0.00,0.00,0.00,10.49%
256,131072,Mixtral-8x7B,32,1,1,32,8,2,1,1,4,1,no,55.35,19.62,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,1,32,8,4,1,1,4,1,no,47.48,11.75,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,1,32,8,8,1,1,4,1,no,43.54,7.81,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,1,32,4,4,2,1,8,1,no,52.76,20.56,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,131072,Mixtral-8x7B,32,1,1,32,4,8,2,1,8,1,no,44.89,12.69,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,131072,Mixtral-8x7B,32,1,2,16,8,1,1,1,4,1,no,53.41,17.69,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,4,8,8,1,1,1,4,1,no,44.57,8.84,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,4,8,4,1,2,1,8,1,no,49.15,16.95,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,131072,Mixtral-8x7B,32,1,8,4,8,1,1,1,4,1,no,40.15,4.42,2.21,33.52,0.00,0.00,0.00,0.00,5.19%
256,131072,Mixtral-8x7B,32,1,8,4,4,1,2,1,8,1,no,40.67,8.48,2.12,30.08,0.00,0.00,0.00,0.00,2.29%
256,65536,Mixtral-8x22B,64,1,1,32,8,8,1,1,7,1,no,59.04,19.66,6.40,32.98,0.00,0.00,0.00,0.00,1.54%
256,65536,Mixtral-8x22B,64,1,4,8,8,1,1,1,7,1,no,64.96,25.59,6.40,32.98,0.00,0.00,0.00,0.00,1.54%
256,65536,Mixtral-8x22B,64,1,8,4,8,1,1,1,7,1,no,52.17,12.79,6.40,32.98,0.00,0.00,0.00,0.00,1.54%
256,65536,Mixtral-8x22B,64,1,8,4,4,1,2,1,14,1,no,62.18,25.04,6.26,30.88,0.00,0.00,0.00,0.00,0.67%
