#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,262144,LLaMA-70B-GQA,16,1,1,16,16,1,1,1,5,1,full,61.44,29.78,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,262144,LLaMA-70B-GQA,16,1,2,8,8,1,2,1,10,1,full,56.14,26.84,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,262144,LLaMA-70B-GQA,16,1,2,8,16,1,1,1,5,1,full,46.55,14.89,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,262144,LLaMA-70B-GQA,16,1,2,16,8,1,1,1,10,1,full,43.17,26.84,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,262144,LLaMA-70B-GQA,16,1,4,4,4,1,4,1,20,1,full,53.48,25.37,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,262144,LLaMA-70B-GQA,16,1,4,4,8,1,2,1,10,1,full,42.71,13.42,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,262144,LLaMA-70B-GQA,16,1,4,4,16,1,1,1,5,1,full,39.10,7.44,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,262144,LLaMA-70B-GQA,16,1,4,8,8,1,1,1,10,1,full,29.75,13.42,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,262144,LLaMA-70B-GQA,16,1,4,8,4,1,2,1,20,1,full,41.02,25.37,3.17,10.38,0.00,2.09,0.00,0.00,1.84%
256,262144,LLaMA-70B-GQA,16,1,8,2,4,1,4,1,20,1,full,40.80,12.69,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,262144,LLaMA-70B-GQA,16,1,8,2,8,1,2,1,10,1,full,36.00,6.71,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,262144,LLaMA-70B-GQA,16,1,8,2,16,1,1,1,5,1,full,35.38,3.72,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,262144,LLaMA-70B-GQA,16,1,8,4,8,1,1,1,10,1,full,23.03,6.71,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,262144,LLaMA-70B-GQA,16,1,8,4,4,1,2,1,20,1,full,28.33,12.69,3.17,10.38,0.00,2.09,0.00,0.00,1.84%
256,524288,LLaMA-70B-GQA,8,1,2,16,8,1,1,1,10,1,full,56.14,26.84,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,524288,LLaMA-70B-GQA,8,1,4,8,8,1,1,1,10,1,full,42.71,13.42,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,524288,LLaMA-70B-GQA,8,1,4,8,4,1,2,1,20,1,full,53.48,25.37,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,524288,LLaMA-70B-GQA,8,1,8,4,8,1,1,1,10,1,full,36.00,6.71,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,524288,LLaMA-70B-GQA,8,1,8,4,4,1,2,1,20,1,full,40.80,12.69,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,131072,LLaMA-150B-GQA,32,1,2,8,16,1,1,1,6,1,full,61.14,30.14,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,131072,LLaMA-150B-GQA,32,1,4,4,8,1,2,1,12,1,full,56.89,27.94,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,131072,LLaMA-150B-GQA,32,1,4,4,16,1,1,1,6,1,full,46.07,15.07,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,131072,LLaMA-150B-GQA,32,1,4,8,8,1,1,1,12,1,full,45.90,27.94,6.98,9.66,0.00,1.33,0.00,0.00,1.79%
256,131072,LLaMA-150B-GQA,32,1,8,2,4,1,4,1,24,1,full,54.76,26.84,6.71,18.56,0.00,2.66,0.00,0.00,1.54%
256,131072,LLaMA-150B-GQA,32,1,8,2,8,1,2,1,12,1,full,42.92,13.97,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,131072,LLaMA-150B-GQA,32,1,8,2,16,1,1,1,6,1,full,38.54,7.53,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,131072,LLaMA-150B-GQA,32,1,8,4,8,1,1,1,12,1,full,31.94,13.97,6.98,9.66,0.00,1.33,0.00,0.00,1.79%
256,131072,LLaMA-150B-GQA,32,1,8,4,4,1,2,1,24,1,full,44.15,26.84,6.71,9.28,0.00,1.33,0.00,0.00,0.78%
256,262144,LLaMA-150B-GQA,16,1,4,8,8,1,1,1,12,1,full,56.89,27.94,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,262144,LLaMA-150B-GQA,16,1,8,2,8,1,2,1,12,1,full,64.89,13.97,6.98,38.62,0.00,5.31,0.00,0.00,6.80%
256,262144,LLaMA-150B-GQA,16,1,8,2,16,1,1,1,6,1,full,62.01,7.53,7.53,41.62,0.00,5.31,0.00,0.00,13.51%
256,262144,LLaMA-150B-GQA,16,1,8,4,8,1,1,1,12,1,full,42.92,13.97,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,262144,LLaMA-150B-GQA,16,1,8,4,4,1,2,1,24,1,full,54.76,26.84,6.71,18.56,0.00,2.66,0.00,0.00,1.54%
256,524288,LLaMA-150B-GQA,8,1,8,4,8,1,1,1,12,1,full,64.89,13.97,6.98,38.62,0.00,5.31,0.00,0.00,6.80%
256,262144,Mixtral-8x7B,16,1,1,16,4,2,4,1,8,1,full,46.24,36.31,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,262144,Mixtral-8x7B,16,1,1,16,4,4,4,1,8,1,full,30.49,20.56,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,262144,Mixtral-8x7B,16,1,1,16,4,8,4,1,8,1,full,22.62,12.69,2.12,4.38,0.00,3.44,0.00,0.00,8.57%
256,262144,Mixtral-8x7B,16,1,1,16,8,1,2,1,4,1,full,45.90,35.37,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,262144,Mixtral-8x7B,16,1,1,16,8,2,2,1,4,1,full,30.15,19.62,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,262144,Mixtral-8x7B,16,1,1,16,8,4,2,1,4,1,full,22.27,11.75,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,262144,Mixtral-8x7B,16,1,1,16,8,8,2,1,4,1,full,18.33,7.81,2.21,4.88,0.00,3.44,0.00,0.00,17.95%
256,262144,Mixtral-8x7B,16,1,1,16,16,1,1,1,2,1,full,30.86,19.15,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
256,262144,Mixtral-8x7B,16,1,1,16,16,2,1,1,2,1,full,22.99,11.28,2.39,5.88,0.00,3.44,0.00,0.00,31.91%
