#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,65536,LLaMA-70B-GQA,64,1,1,4,16,1,4,1,5,1,full,61.44,29.78,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,65536,LLaMA-70B-GQA,64,1,1,8,16,1,2,1,5,1,full,47.47,29.78,3.72,11.88,0.00,2.09,0.00,0.00,8.57%
256,65536,LLaMA-70B-GQA,64,1,2,2,8,1,8,1,10,1,full,56.14,26.84,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,65536,LLaMA-70B-GQA,64,1,2,2,16,1,4,1,5,1,full,46.55,14.89,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,65536,LLaMA-70B-GQA,64,1,2,4,4,1,8,1,20,1,full,66.39,50.75,3.17,10.38,0.00,2.09,0.00,0.00,1.84%
256,65536,LLaMA-70B-GQA,64,1,2,4,8,1,4,1,10,1,full,43.17,26.84,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,65536,LLaMA-70B-GQA,64,1,2,4,16,1,2,1,5,1,full,32.58,14.89,3.72,11.88,0.00,2.09,0.00,0.00,8.57%
256,65536,LLaMA-70B-GQA,64,1,4,1,4,1,16,1,20,1,full,53.48,25.37,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,65536,LLaMA-70B-GQA,64,1,4,1,8,1,8,1,10,1,full,42.71,13.42,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,65536,LLaMA-70B-GQA,64,1,4,1,16,1,4,1,5,1,full,39.10,7.44,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,65536,LLaMA-70B-GQA,64,1,4,2,4,1,8,1,20,1,full,41.02,25.37,3.17,10.38,0.00,2.09,0.00,0.00,1.84%
256,65536,LLaMA-70B-GQA,64,1,4,2,8,1,4,1,10,1,full,29.75,13.42,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,65536,LLaMA-70B-GQA,64,1,4,2,16,1,2,1,5,1,full,25.14,7.44,3.72,11.88,0.00,2.09,0.00,0.00,8.57%
256,65536,LLaMA-70B-GQA,64,1,8,1,4,1,8,1,20,1,full,28.33,12.69,3.17,10.38,0.00,2.09,0.00,0.00,1.84%
256,65536,LLaMA-70B-GQA,64,1,8,1,8,1,4,1,10,1,full,23.03,6.71,3.36,10.88,0.00,2.09,0.00,0.00,4.19%
256,65536,LLaMA-70B-GQA,64,1,8,1,16,1,2,1,5,1,full,21.41,3.72,3.72,11.88,0.00,2.09,0.00,0.00,8.57%
256,131072,LLaMA-70B-GQA,32,1,1,8,16,1,2,1,5,1,full,61.44,29.78,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,131072,LLaMA-70B-GQA,32,1,2,4,8,1,4,1,10,1,full,56.14,26.84,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,131072,LLaMA-70B-GQA,32,1,2,4,16,1,2,1,5,1,full,46.55,14.89,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,131072,LLaMA-70B-GQA,32,1,4,2,4,1,8,1,20,1,full,53.48,25.37,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,131072,LLaMA-70B-GQA,32,1,4,2,8,1,4,1,10,1,full,42.71,13.42,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,131072,LLaMA-70B-GQA,32,1,4,2,16,1,2,1,5,1,full,39.10,7.44,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,131072,LLaMA-70B-GQA,32,1,8,1,4,1,8,1,20,1,full,40.80,12.69,3.17,20.75,0.00,4.19,0.00,0.00,3.61%
256,131072,LLaMA-70B-GQA,32,1,8,1,8,1,4,1,10,1,full,36.00,6.71,3.36,21.75,0.00,4.19,0.00,0.00,8.05%
256,131072,LLaMA-70B-GQA,32,1,8,1,16,1,2,1,5,1,full,35.38,3.72,3.72,23.75,0.00,4.19,0.00,0.00,15.79%
256,65536,LLaMA-150B-GQA,64,1,1,8,32,1,1,1,3,1,full,69.65,34.54,8.64,23.81,0.00,2.66,0.00,0.00,13.90%
256,65536,LLaMA-150B-GQA,64,1,2,4,32,1,1,1,3,1,full,52.37,17.27,8.64,23.81,0.00,2.66,0.00,0.00,13.90%
256,65536,LLaMA-150B-GQA,64,1,2,4,16,1,2,1,6,1,full,61.14,30.14,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,65536,LLaMA-150B-GQA,64,1,4,1,16,1,4,1,6,1,full,69.54,15.07,7.53,41.62,0.00,5.31,0.00,0.00,13.51%
256,65536,LLaMA-150B-GQA,64,1,4,2,32,1,1,1,3,1,full,43.74,8.64,8.64,23.81,0.00,2.66,0.00,0.00,13.90%
256,65536,LLaMA-150B-GQA,64,1,4,2,8,1,4,1,12,1,full,56.89,27.94,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,65536,LLaMA-150B-GQA,64,1,4,2,16,1,2,1,6,1,full,46.07,15.07,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,65536,LLaMA-150B-GQA,64,1,8,1,32,1,1,1,3,1,full,39.42,4.32,8.64,23.81,0.00,2.66,0.00,0.00,13.90%
256,65536,LLaMA-150B-GQA,64,1,8,1,4,1,8,1,24,1,full,54.76,26.84,6.71,18.56,0.00,2.66,0.00,0.00,1.54%
256,65536,LLaMA-150B-GQA,64,1,8,1,8,1,4,1,12,1,full,42.92,13.97,6.98,19.31,0.00,2.66,0.00,0.00,3.52%
256,65536,LLaMA-150B-GQA,64,1,8,1,16,1,2,1,6,1,full,38.54,7.53,7.53,20.81,0.00,2.66,0.00,0.00,7.25%
256,131072,LLaMA-150B-GQA,32,1,4,2,16,1,2,1,6,1,full,69.54,15.07,7.53,41.62,0.00,5.31,0.00,0.00,13.51%
256,131072,LLaMA-150B-GQA,32,1,8,1,32,1,1,1,3,1,full,65.89,4.32,8.64,47.62,0.00,5.31,0.00,0.00,24.41%
256,131072,LLaMA-150B-GQA,32,1,8,1,8,1,4,1,12,1,full,64.89,13.97,6.98,38.62,0.00,5.31,0.00,0.00,6.80%
