#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,262144,LLaMA-70B-GQA,16,1,1,16,16,1,1,16,5,1,no,57.52,24.27,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,262144,LLaMA-70B-GQA,16,1,2,8,16,1,1,16,5,1,no,45.39,12.14,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,262144,LLaMA-70B-GQA,16,1,4,4,16,1,1,16,5,1,no,39.32,6.07,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,262144,LLaMA-70B-GQA,16,1,8,2,8,1,2,8,10,1,no,60.16,6.07,3.03,49.20,0.98,0.00,0.00,0.88,1.08%
256,262144,LLaMA-70B-GQA,16,1,8,2,8,1,2,16,10,1,no,58.81,6.07,3.03,45.54,0.98,0.00,0.00,3.19,0.54%
256,262144,LLaMA-70B-GQA,16,1,8,2,16,1,1,16,5,1,no,36.28,3.03,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,524288,LLaMA-70B-GQA,8,1,8,2,16,1,1,32,5,1,no,60.71,3.03,3.03,49.73,0.98,0.00,0.00,3.94,1.16%
256,131072,LLaMA-150B-GQA,32,1,2,8,16,1,1,16,6,1,no,54.38,26.01,6.50,20.92,0.24,0.00,0.00,0.70,0.49%
256,131072,LLaMA-150B-GQA,32,1,4,4,16,1,1,16,6,1,no,41.37,13.00,6.50,20.92,0.24,0.00,0.00,0.70,0.49%
256,131072,LLaMA-150B-GQA,32,1,8,2,8,1,2,8,12,1,no,57.18,13.00,6.50,36.52,0.49,0.00,0.00,0.66,0.45%
256,131072,LLaMA-150B-GQA,32,1,8,2,16,1,1,16,6,1,no,34.87,6.50,6.50,20.92,0.24,0.00,0.00,0.70,0.49%
256,262144,LLaMA-150B-GQA,16,1,4,4,16,1,1,16,6,1,no,63.24,13.00,6.50,41.84,0.49,0.00,0.00,1.41,0.97%
256,262144,LLaMA-150B-GQA,16,1,8,2,16,1,1,16,6,1,no,56.74,6.50,6.50,41.84,0.49,0.00,0.00,1.41,0.97%
256,131072,Mixtral-8x22B,32,1,1,16,8,8,2,8,7,1,no,41.10,15.81,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,131072,Mixtral-8x22B,32,1,4,4,8,1,2,8,7,1,no,49.92,24.62,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,131072,Mixtral-8x22B,32,1,8,2,4,1,4,8,14,1,no,64.19,24.62,6.16,30.88,0.98,0.00,0.00,1.55,0.33%
256,131072,Mixtral-8x22B,32,1,8,2,8,1,2,8,7,1,no,37.61,12.31,6.16,18.32,0.49,0.00,0.00,0.33,0.78%
256,262144,Mixtral-8x22B,16,1,1,16,8,8,2,16,7,1,no,57.75,15.81,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
256,262144,Mixtral-8x22B,16,1,4,4,8,1,2,16,7,1,no,66.56,24.62,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
256,262144,Mixtral-8x22B,16,1,8,2,8,1,2,16,7,1,no,54.25,12.31,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
256,524288,Mixtral-8x22B,8,1,1,32,8,8,1,16,7,1,no,57.75,15.81,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
256,524288,Mixtral-8x22B,8,1,4,8,8,1,1,16,7,1,no,66.56,24.62,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
256,524288,Mixtral-8x22B,8,1,8,4,8,1,1,16,7,1,no,54.25,12.31,6.16,32.98,0.98,0.00,0.00,1.83,0.78%
