#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,524288,LLaMA-70B-GQA,8,1,1,8,16,1,2,32,5,1,full,45.08,24.27,3.03,5.94,1.96,0.52,1.48,7.88,2.29%
256,524288,LLaMA-70B-GQA,8,1,2,2,16,1,4,32,5,1,full,50.71,12.14,3.03,11.88,3.91,1.03,2.97,15.75,4.48%
256,524288,LLaMA-70B-GQA,8,1,2,4,8,1,4,16,10,1,full,58.60,24.27,3.03,10.88,3.91,1.03,2.72,12.75,2.14%
256,524288,LLaMA-70B-GQA,8,1,2,4,16,1,2,32,5,1,full,32.94,12.14,3.03,5.94,1.96,0.52,1.48,7.88,2.29%
256,524288,LLaMA-70B-GQA,8,1,4,2,8,1,4,16,10,1,full,46.46,12.14,3.03,10.88,3.91,1.03,2.72,12.75,2.14%
256,524288,LLaMA-70B-GQA,8,1,4,2,16,1,2,32,5,1,full,26.87,6.07,3.03,5.94,1.96,0.52,1.48,7.88,2.29%
256,524288,LLaMA-70B-GQA,8,1,8,1,8,1,4,16,10,1,full,40.39,6.07,3.03,10.88,3.91,1.03,2.72,12.75,2.14%
256,524288,LLaMA-70B-GQA,8,1,8,1,16,1,2,32,5,1,full,23.84,3.03,3.03,5.94,1.96,0.52,1.48,7.88,2.29%
256,262144,LLaMA-150B-GQA,16,1,1,8,32,1,1,32,3,1,full,40.56,26.01,6.50,3.70,0.49,0.33,0.62,2.91,1.98%
256,262144,LLaMA-150B-GQA,16,1,2,4,32,1,1,32,3,1,full,27.55,13.00,6.50,3.70,0.49,0.33,0.62,2.91,1.98%
256,262144,LLaMA-150B-GQA,16,1,2,4,16,1,2,32,6,1,full,46.55,26.01,6.50,5.20,0.98,0.33,0.87,6.66,0.97%
256,262144,LLaMA-150B-GQA,16,1,4,2,32,1,1,32,3,1,full,21.05,6.50,6.50,3.70,0.49,0.33,0.62,2.91,1.98%
256,262144,LLaMA-150B-GQA,16,1,4,2,8,1,4,16,12,1,full,57.45,26.01,6.50,9.66,1.96,0.66,1.61,11.06,0.90%
256,262144,LLaMA-150B-GQA,16,1,4,2,16,1,2,32,6,1,full,33.54,13.00,6.50,5.20,0.98,0.33,0.87,6.66,0.97%
256,262144,LLaMA-150B-GQA,16,1,8,1,32,1,1,32,3,1,full,17.80,3.25,6.50,3.70,0.49,0.33,0.62,2.91,1.98%
256,262144,LLaMA-150B-GQA,16,1,8,1,8,1,4,16,12,1,full,44.45,13.00,6.50,9.66,1.96,0.66,1.61,11.06,0.90%
256,262144,LLaMA-150B-GQA,16,1,8,1,16,1,2,32,6,1,full,27.04,6.50,6.50,5.20,0.98,0.33,0.87,6.66,0.97%
256,524288,LLaMA-150B-GQA,8,1,1,8,32,1,1,64,3,1,full,49.67,26.01,6.50,5.95,0.98,0.33,0.99,8.91,1.98%
256,524288,LLaMA-150B-GQA,8,1,2,4,32,1,1,64,3,1,full,36.67,13.00,6.50,5.95,0.98,0.33,0.99,8.91,1.98%
256,524288,LLaMA-150B-GQA,8,1,2,4,16,1,2,32,6,1,full,60.58,26.01,6.50,10.41,1.96,0.66,1.73,13.31,1.92%
256,524288,LLaMA-150B-GQA,8,1,4,2,32,1,1,64,3,1,full,30.16,6.50,6.50,5.95,0.98,0.33,0.99,8.91,1.98%
256,524288,LLaMA-150B-GQA,8,1,4,2,16,1,2,32,6,1,full,47.57,13.00,6.50,10.41,1.96,0.66,1.73,13.31,1.92%
256,524288,LLaMA-150B-GQA,8,1,8,1,32,1,1,64,3,1,full,26.91,3.25,6.50,5.95,0.98,0.33,0.99,8.91,1.98%
256,524288,LLaMA-150B-GQA,8,1,8,1,8,1,4,16,12,1,full,69.39,13.00,6.50,19.31,3.91,1.31,3.22,22.12,1.79%
256,524288,LLaMA-150B-GQA,8,1,8,1,16,1,2,32,6,1,full,41.07,6.50,6.50,10.41,1.96,0.66,1.73,13.31,1.92%
256,524288,Mixtral-8x7B,8,1,1,8,4,8,8,8,8,1,full,33.86,10.49,2.05,4.38,7.83,1.69,2.19,5.25,4.48%
256,524288,Mixtral-8x7B,8,1,1,8,8,8,4,16,4,1,full,19.08,5.24,2.05,2.44,3.91,0.84,1.22,3.38,5.19%
256,524288,Mixtral-8x7B,8,1,1,8,16,8,2,32,2,1,full,11.69,2.62,2.05,1.47,1.96,0.42,0.73,2.44,5.54%
256,131072,Mixtral-8x22B,32,1,1,8,4,8,8,8,14,1,full,47.03,31.62,6.16,2.77,1.96,0.52,0.92,3.09,0.67%
256,131072,Mixtral-8x22B,32,1,1,8,8,8,4,16,7,1,full,27.00,15.81,6.16,1.48,0.98,0.26,0.49,1.83,0.78%
256,131072,Mixtral-8x22B,32,1,2,4,8,1,4,16,7,1,full,60.44,49.25,6.16,1.48,0.98,0.26,0.49,1.83,0.78%
256,131072,Mixtral-8x22B,32,1,4,1,8,1,8,16,7,1,full,40.85,24.62,6.16,2.95,1.96,0.52,0.98,3.66,1.54%
256,131072,Mixtral-8x22B,32,1,4,2,4,1,8,8,14,1,full,64.66,49.25,6.16,2.77,1.96,0.52,0.92,3.09,0.67%
256,131072,Mixtral-8x22B,32,1,8,1,4,1,8,8,14,1,full,40.03,24.62,6.16,2.77,1.96,0.52,0.92,3.09,0.67%
256,262144,Mixtral-8x22B,16,1,1,8,4,8,8,8,14,1,full,56.29,31.62,6.16,5.53,3.91,1.03,1.84,6.19,1.32%
256,262144,Mixtral-8x22B,16,1,1,8,8,8,4,16,7,1,full,32.03,15.81,6.16,2.95,1.96,0.52,0.98,3.66,1.54%
256,262144,Mixtral-8x22B,16,1,2,4,8,1,4,16,7,1,full,65.47,49.25,6.16,2.95,1.96,0.52,0.98,3.66,1.54%
256,262144,Mixtral-8x22B,16,1,4,1,8,1,8,16,7,1,full,50.91,24.62,6.16,5.91,3.91,1.03,1.97,7.31,3.03%
256,262144,Mixtral-8x22B,16,1,4,2,8,1,4,16,7,1,full,40.85,24.62,6.16,2.95,1.96,0.52,0.98,3.66,1.54%
256,262144,Mixtral-8x22B,16,1,8,1,4,1,8,8,14,1,full,49.29,24.62,6.16,5.53,3.91,1.03,1.84,6.19,1.32%
256,262144,Mixtral-8x22B,16,1,8,1,8,1,4,16,7,1,full,28.53,12.31,6.16,2.95,1.96,0.52,0.98,3.66,1.54%
256,524288,Mixtral-8x22B,8,1,1,8,8,8,4,16,7,1,full,42.10,15.81,6.16,5.91,3.91,1.03,1.97,7.31,3.03%
256,524288,Mixtral-8x22B,8,1,4,2,8,1,4,16,7,1,full,50.91,24.62,6.16,5.91,3.91,1.03,1.97,7.31,3.03%
256,524288,Mixtral-8x22B,8,1,8,1,4,1,8,8,14,1,full,67.80,24.62,6.16,11.06,7.83,2.06,3.69,12.38,2.61%
256,524288,Mixtral-8x22B,8,1,8,1,8,1,4,16,7,1,full,38.60,12.31,6.16,5.91,3.91,1.03,1.97,7.31,3.03%
