#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,recompute,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
256,65536,LLaMA-70B-GQA,64,1,2,4,8,1,4,8,10,1,no,52.84,24.27,3.03,24.60,0.49,0.00,0.00,0.44,0.54%
256,65536,LLaMA-70B-GQA,64,1,4,1,8,1,8,8,10,1,no,66.23,12.14,3.03,49.20,0.98,0.00,0.00,0.88,1.08%
256,65536,LLaMA-70B-GQA,64,1,4,2,8,1,4,8,10,1,no,40.70,12.14,3.03,24.60,0.49,0.00,0.00,0.44,0.54%
256,65536,LLaMA-70B-GQA,64,1,8,1,4,1,8,4,20,1,no,61.54,12.14,3.03,45.02,0.98,0.00,0.00,0.38,0.47%
256,65536,LLaMA-70B-GQA,64,1,8,1,8,1,4,8,10,1,no,34.63,6.07,3.03,24.60,0.49,0.00,0.00,0.44,0.54%
256,131072,LLaMA-70B-GQA,32,1,1,8,16,1,2,16,5,1,no,57.52,24.27,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,131072,LLaMA-70B-GQA,32,1,2,4,16,1,2,16,5,1,no,45.39,12.14,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,131072,LLaMA-70B-GQA,32,1,4,2,8,1,4,8,10,1,no,66.23,12.14,3.03,49.20,0.98,0.00,0.00,0.88,1.08%
256,131072,LLaMA-70B-GQA,32,1,4,2,16,1,2,16,5,1,no,39.32,6.07,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,131072,LLaMA-70B-GQA,32,1,8,1,8,1,4,8,10,1,no,60.16,6.07,3.03,49.20,0.98,0.00,0.00,0.88,1.08%
256,131072,LLaMA-70B-GQA,32,1,8,1,16,1,2,16,5,1,no,36.28,3.03,3.03,28.79,0.49,0.00,0.00,0.94,1.16%
256,262144,LLaMA-70B-GQA,16,1,4,2,16,1,2,32,5,1,no,63.75,6.07,3.03,49.73,0.98,0.00,0.00,3.94,1.16%
256,262144,LLaMA-70B-GQA,16,1,8,1,16,1,2,32,5,1,no,60.71,3.03,3.03,49.73,0.98,0.00,0.00,3.94,1.16%
