#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,ckpt,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
128,256k,LLaMA-13B,16,1,2,32,2,1,1,1,20,1,False,46.57,19.56,1.22,25.79,0.00,0.00,0.00,0.00,0.31%
128,256k,LLaMA-13B,16,1,4,8,2,1,2,1,20,1,False,62.57,9.78,1.22,51.57,0.00,0.00,0.00,0.00,0.62%
128,256k,LLaMA-13B,16,1,4,8,4,1,1,1,10,1,False,60.77,5.35,1.34,54.09,0.00,0.00,0.00,0.00,1.84%
128,256k,LLaMA-13B,16,1,4,16,2,1,1,1,20,1,False,36.79,9.78,1.22,25.79,0.00,0.00,0.00,0.00,0.31%
128,256k,LLaMA-13B,16,1,8,4,2,1,2,1,20,1,False,57.68,4.89,1.22,51.57,0.00,0.00,0.00,0.00,0.62%
128,256k,LLaMA-13B,16,1,2,4,2,1,8,1,20,1,True,38.63,19.56,1.22,12.81,0.00,5.03,0.00,0.00,2.44%
128,256k,LLaMA-13B,16,1,4,2,2,1,8,1,20,1,True,28.85,9.78,1.22,12.81,0.00,5.03,0.00,0.00,2.44%
128,256k,LLaMA-13B,16,1,2,32,1,1,2,1,1,40,False,63.61,37.29,1.17,25.16,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,4,16,1,1,2,1,1,40,False,44.96,18.64,1.17,25.16,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,4,32,1,1,1,1,1,40,False,32.39,18.64,1.17,12.58,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,8,4,1,1,4,1,1,40,False,60.80,9.32,1.17,50.31,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,2,4,1,1,16,1,1,40,True,55.98,37.29,1.17,12.50,0.00,5.03,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,4,2,1,1,16,1,1,40,True,37.34,18.64,1.17,12.50,0.00,5.03,0.00,0.00,0.00%
128,256k,LLaMA-70B-GQA,16,1,2,8,8,1,1,1,10,1,True,59.49,26.84,6.71,21.75,0.00,4.19,0.00,0.00,4.19%
128,256k,LLaMA-70B-GQA,16,1,4,4,8,1,1,1,10,1,True,46.07,13.42,6.71,21.75,0.00,4.19,0.00,0.00,4.19%
128,256k,LLaMA-70B-GQA,16,1,8,2,8,1,1,1,10,1,True,39.36,6.71,6.71,21.75,0.00,4.19,0.00,0.00,4.19%
128,256k,LLaMA-70B-GQA,16,1,8,2,4,1,2,1,20,1,True,43.97,12.69,6.34,20.75,0.00,4.19,0.00,0.00,1.84%
128,256k,LLaMA-13B,16,1,1,8,8,1,2,16,5,1,False,48.04,12.53,1.57,29.56,1.96,0.00,0.00,2.42,1.08%
128,256k,LLaMA-13B,16,1,1,16,8,1,1,16,5,1,False,31.07,12.53,1.57,14.78,0.98,0.00,0.00,1.21,0.54%
128,256k,LLaMA-13B,16,1,2,4,8,1,2,16,5,1,False,41.77,6.27,1.57,29.56,1.96,0.00,0.00,2.42,1.08%
128,256k,LLaMA-13B,16,1,2,8,8,1,1,16,5,1,False,24.80,6.27,1.57,14.78,0.98,0.00,0.00,1.21,0.54%
128,256k,LLaMA-13B,16,1,4,2,8,1,2,16,5,1,False,38.64,3.13,1.57,29.56,1.96,0.00,0.00,2.42,1.08%
128,256k,LLaMA-13B,16,1,4,4,8,1,1,16,5,1,False,21.67,3.13,1.57,14.78,0.98,0.00,0.00,1.21,0.54%
128,256k,LLaMA-13B,16,1,8,1,8,1,2,16,5,1,False,37.07,1.57,1.57,29.56,1.96,0.00,0.00,2.42,1.08%
128,256k,LLaMA-13B,16,1,8,2,8,1,1,16,5,1,False,20.10,1.57,1.57,14.78,0.98,0.00,0.00,1.21,0.54%
128,256k,LLaMA-13B,16,1,1,16,4,1,2,16,10,1,False,53.48,21.39,1.34,26.10,1.96,0.00,0.00,2.70,0.23%
128,256k,LLaMA-13B,16,1,2,8,4,1,2,16,10,1,False,42.79,10.70,1.34,26.10,1.96,0.00,0.00,2.70,0.23%
128,256k,LLaMA-13B,16,1,4,4,4,1,2,16,10,1,False,37.44,5.35,1.34,26.10,1.96,0.00,0.00,2.70,0.23%
128,256k,LLaMA-13B,16,1,8,2,4,1,2,16,10,1,False,34.76,2.67,1.34,26.10,1.96,0.00,0.00,2.70,0.23%
128,256k,LLaMA-13B,16,1,1,8,8,1,2,32,5,1,False,46.50,12.53,1.57,27.36,1.96,0.00,0.00,3.09,0.54%
128,256k,LLaMA-13B,16,1,1,16,8,1,1,32,5,1,False,30.30,12.53,1.57,13.68,0.98,0.00,0.00,1.54,0.27%
128,256k,LLaMA-13B,16,1,2,4,8,1,2,32,5,1,False,40.23,6.27,1.57,27.36,1.96,0.00,0.00,3.09,0.54%
128,256k,LLaMA-13B,16,1,2,8,8,1,1,32,5,1,False,24.03,6.27,1.57,13.68,0.98,0.00,0.00,1.54,0.27%
128,256k,LLaMA-13B,16,1,4,2,8,1,2,32,5,1,False,37.10,3.13,1.57,27.36,1.96,0.00,0.00,3.09,0.54%
128,256k,LLaMA-13B,16,1,4,4,8,1,1,32,5,1,False,20.90,3.13,1.57,13.68,0.98,0.00,0.00,1.54,0.27%
128,256k,LLaMA-13B,16,1,8,1,8,1,2,32,5,1,False,35.53,1.57,1.57,27.36,1.96,0.00,0.00,3.09,0.54%
128,256k,LLaMA-13B,16,1,8,2,8,1,1,32,5,1,False,19.33,1.57,1.57,13.68,0.98,0.00,0.00,1.54,0.27%
128,256k,LLaMA-13B,16,1,8,2,2,1,4,4,20,1,False,65.03,4.89,1.22,51.57,3.91,0.00,0.00,3.44,0.31%
128,256k,LLaMA-13B,16,1,1,16,4,1,2,8,10,1,False,53.68,21.39,1.34,27.04,1.96,0.00,0.00,1.95,0.47%
128,256k,LLaMA-13B,16,1,2,8,4,1,2,8,10,1,False,42.99,10.70,1.34,27.04,1.96,0.00,0.00,1.95,0.47%
128,256k,LLaMA-13B,16,1,4,4,4,1,2,8,10,1,False,37.64,5.35,1.34,27.04,1.96,0.00,0.00,1.95,0.47%
128,256k,LLaMA-13B,16,1,8,2,4,1,2,8,10,1,False,34.96,2.67,1.34,27.04,1.96,0.00,0.00,1.95,0.47%
128,256k,LLaMA-70B-GQA,16,1,8,2,8,1,1,16,10,1,False,63.13,6.71,6.71,45.54,0.98,0.00,0.00,3.19,0.27%
128,256k,LLaMA-70B-GQA,16,1,8,1,16,1,1,32,5,1,False,62.91,3.72,7.44,45.80,0.98,0.00,0.00,4.97,0.29%
128,256k,LLaMA-70B-GQA,16,1,8,2,8,1,1,32,10,1,False,62.45,6.71,6.71,43.71,0.98,0.00,0.00,4.34,0.14%
128,256k,LLaMA-70B-GQA,16,1,8,1,16,1,1,64,5,1,False,62.91,3.72,7.44,45.80,0.98,0.00,0.00,4.97,0.29%
128,256k,LLaMA-13B,16,1,8,1,4,1,4,1,10,1,True,22.48,2.67,1.34,13.44,0.00,5.03,0.00,0.00,6.98%
128,256k,LLaMA-13B,16,1,8,1,8,1,2,1,5,1,True,22.85,1.57,1.57,14.69,0.00,5.03,0.00,0.00,14.89%
128,256k,LLaMA-13B,16,1,8,16,1,1,1,1,1,40,False,23.06,9.32,1.17,12.58,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,8,1,2,1,8,1,20,1,True,23.96,4.89,1.22,12.81,0.00,5.03,0.00,0.00,2.44%
128,256k,LLaMA-13B,16,1,4,2,8,1,2,1,5,1,True,24.42,3.13,1.57,14.69,0.00,5.03,0.00,0.00,14.89%
128,256k,LLaMA-13B,16,1,4,2,4,1,4,1,10,1,True,25.15,5.35,1.34,13.44,0.00,5.03,0.00,0.00,6.98%
128,256k,LLaMA-13B,16,1,2,4,8,1,2,1,5,1,True,27.55,6.27,1.57,14.69,0.00,5.03,0.00,0.00,14.89%
128,256k,LLaMA-13B,16,1,8,1,1,1,16,1,1,40,True,28.02,9.32,1.17,12.50,0.00,5.03,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,2,4,4,1,4,1,10,1,True,30.50,10.70,1.34,13.44,0.00,5.03,0.00,0.00,6.98%
128,256k,LLaMA-13B,16,1,8,8,2,1,1,1,20,1,False,31.90,4.89,1.22,25.79,0.00,0.00,0.00,0.00,0.31%
128,256k,LLaMA-13B,16,1,1,8,8,1,2,1,5,1,True,33.82,12.53,1.57,14.69,0.00,5.03,0.00,0.00,14.89%
128,256k,LLaMA-13B,16,1,8,8,1,1,2,1,1,40,False,35.64,9.32,1.17,25.16,0.00,0.00,0.00,0.00,0.00%
128,256k,LLaMA-13B,16,1,1,8,4,1,4,1,10,1,True,41.20,21.39,1.34,13.44,0.00,5.03,0.00,0.00,6.98%
128,256k,LLaMA-70B-GQA,16,1,8,2,2,1,4,1,40,1,True,55.24,24.64,6.16,20.25,0.00,4.19,0.00,0.00,0.62%
128,256k,LLaMA-70B-GQA,16,1,4,4,4,1,2,1,20,1,True,56.66,25.37,6.34,20.75,0.00,4.19,0.00,0.00,1.84%
128,256k,LLaMA-13B,16,1,8,4,4,1,1,1,10,1,False,58.10,2.67,1.34,54.09,0.00,0.00,0.00,0.00,1.84%
128,256k,LLaMA-13B,16,1,1,8,2,1,8,1,20,1,True,58.19,39.12,1.22,12.81,0.00,5.03,0.00,0.00,2.44%
128,256k,LLaMA-13B,16,1,2,4,4,1,4,16,10,1,False
128,256k,LLaMA-13B,16,1,2,4,4,1,4,8,10,1,False
128,256k,LLaMA-13B,16,1,2,4,8,1,2,16,5,1,False
128,256k,LLaMA-13B,16,1,2,4,8,1,2,8,5,1,False
128,256k,LLaMA-13B,16,1,4,2,4,1,4,16,10,1,False
128,256k,LLaMA-13B,16,1,4,2,8,1,2,16,5,1,False
128,256k,LLaMA-13B,16,1,4,2,8,1,2,8,5,1,False
128,256k,LLaMA-13B,16,1,8,1,1,1,16,1,1,40,True
128,256k,LLaMA-13B,16,1,8,4,4,1,1,1,10,1,False
128,256k,LLaMA-13B,16,1,8,8,1,1,2,1,1,40,False
128,256k,LLaMA-13B,16,1,8,8,2,1,1,1,20,1,False
128,256k,LLaMA-70B-GQA,16,1,8,1,16,1,1,16,5,1,False
128,256k,LLaMA-70B-GQA,16,1,8,1,16,1,1,32,5,1,False
128,256k,LLaMA-70B-GQA,16,1,8,1,16,1,1,64,5,1,False
128,256k,LLaMA-70B-GQA,16,1,8,2,8,1,1,1,10,1,True
128,256k,Mixtral-8x22B,16,1,1,8,8,8,1,16,7,1,True
128,256k,Mixtral-8x22B,16,1,4,8,4,8,1,1,14,1,True
128,256k,Mixtral-8x22B,16,1,8,4,4,1,1,1,14,1,True
