#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,ckpt,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
128,256k,Mixtral-8x7B,16,1,4,4,4,1,2,8,8,1,False,54.54,16.95,4.24,30.08,1.96,0.00,0.00,1.31,0.58%
128,256k,Mixtral-8x7B,16,1,2,16,4,1,1,8,8,1,False,54.82,33.91,4.24,15.04,0.98,0.00,0.00,0.66,0.29%
128,256k,Mixtral-8x7B,16,1,4,2,8,1,2,8,4,1,False,55.63,8.84,4.42,39.53,1.96,0.00,0.00,0.88,2.66%
128,256k,Mixtral-8x7B,16,1,2,16,4,1,1,4,8,1,False,55.64,33.91,4.24,16.33,0.98,0.00,0.00,0.19,0.58%
128,256k,Mixtral-8x7B,16,1,4,4,4,1,2,4,8,1,False,56.18,16.95,4.24,32.66,1.96,0.00,0.00,0.38,1.16%
128,256k,Mixtral-8x7B,16,1,1,16,8,1,1,16,4,1,False,58.38,35.37,4.42,16.76,0.98,0.00,0.00,0.84,0.68%
128,256k,Mixtral-8x7B,16,1,2,2,16,1,2,32,2,1,False,59.15,9.58,4.79,40.39,1.96,0.00,0.00,2.44,2.85%
128,256k,Mixtral-8x7B,16,1,2,4,8,1,2,16,4,1,False,59.27,17.69,4.42,33.52,1.96,0.00,0.00,1.69,1.35%
128,256k,Mixtral-8x7B,16,1,1,4,32,1,1,32,1,1,False,59.88,11.05,5.52,40.39,0.98,0.00,0.00,1.94,5.71%
128,256k,Mixtral-8x7B,16,1,1,4,16,2,1,32,2,1,False,60.85,11.28,4.79,40.39,1.96,0.00,0.00,2.44,1.44%
128,256k,Mixtral-8x7B,16,1,1,16,8,1,1,8,4,1,False,60.98,35.37,4.42,19.77,0.98,0.00,0.00,0.44,1.35%
128,256k,Mixtral-8x7B,16,1,1,8,8,2,1,16,4,1,False,61.21,19.62,4.42,33.52,1.96,0.00,0.00,1.69,0.68%
128,256k,Mixtral-8x7B,16,1,2,4,8,1,2,8,4,1,False,64.47,17.69,4.42,39.53,1.96,0.00,0.00,0.88,2.66%
128,256k,Mixtral-8x7B,16,1,1,8,8,2,1,8,4,1,False,66.41,19.62,4.42,39.53,1.96,0.00,0.00,0.88,1.35%
128,256k,Mixtral-8x7B,16,1,4,1,16,1,2,16,2,1,False,66.69,4.79,4.79,53.28,1.96,0.00,0.00,1.88,5.54%
128,256k,Mixtral-8x7B,16,1,4,8,2,1,2,2,16,1,False,68.62,33.17,4.15,29.22,1.96,0.00,0.00,0.12,0.39%
128,256k,Mixtral-8x7B,16,1,1,4,16,1,2,32,2,1,False,68.73,19.15,4.79,40.39,1.96,0.00,0.00,2.44,2.85%
128,256k,Mixtral-8x7B,16,1,4,8,2,1,2,4,16,1,False,68.76,33.17,4.15,28.36,1.96,0.00,0.00,1.12,0.19%
128,256k,Mixtral-8x7B,16,1,2,1,32,1,2,64,1,1,False,71.08,5.52,5.52,54.14,1.96,0.00,0.00,3.94,5.71%
128,256k,Mixtral-8x7B,16,1,2,2,16,1,2,16,2,1,False,71.48,9.58,4.79,53.28,1.96,0.00,0.00,1.88,5.54%
128,256k,Mixtral-8x7B,16,1,2,8,4,1,2,8,8,1,False,71.49,33.91,4.24,30.08,1.96,0.00,0.00,1.31,0.58%
128,256k,Mixtral-8x7B,16,1,1,2,32,2,1,64,1,1,False,72.67,7.11,5.52,54.14,1.96,0.00,0.00,3.94,2.94%
128,256k,Mixtral-8x7B,16,1,2,8,4,1,2,4,8,1,False,73.13,33.91,4.24,32.66,1.96,0.00,0.00,0.38,1.16%
128,256k,Mixtral-8x7B,16,1,1,4,16,2,1,16,2,1,False,73.18,11.28,4.79,53.28,1.96,0.00,0.00,1.88,2.85%
128,256k,Mixtral-8x7B,16,1,1,16,4,2,1,8,8,1,False,73.90,36.31,4.24,30.08,1.96,0.00,0.00,1.31,0.29%
