#GPUs,s,Model,B,b,t,c,p,e,d,n,v,l,ckpt,Peak Memory (GiB),Parameter+Gradient Memory (GiB),Optimizer Memory (GiB),Activation Memory (GiB),Output Memory (GiB),Recomputed Memory (GiB),KV Cache Memory (GiB),KV Gradient Memory (GiB),Bubble Ratio
128,256k,Mixtral-8x22B,16,1,8,2,8,1,1,1,7,1,True,41.59,12.79,12.79,11.81,0.00,4.19,0.00,0.00,5.88%
128,256k,Mixtral-8x22B,16,1,8,4,4,1,1,1,14,1,True,45.18,25.04,12.52,5.53,0.00,2.09,0.00,0.00,1.32%
128,256k,Mixtral-8x22B,16,1,8,2,4,1,2,1,14,1,True,52.81,25.04,12.52,11.06,0.00,4.19,0.00,0.00,2.61%
128,256k,Mixtral-8x22B,16,1,4,4,8,1,1,1,7,1,True,54.38,25.59,12.79,11.81,0.00,4.19,0.00,0.00,5.88%
128,256k,Mixtral-8x22B,16,1,8,1,8,1,2,1,7,1,True,57.59,12.79,12.79,23.62,0.00,8.38,0.00,0.00,11.11%
128,256k,Mixtral-8x7B,16,1,1,8,4,4,1,1,8,1,True,40.43,20.56,4.24,8.75,0.00,6.88,0.00,0.00,2.29%
128,256k,Mixtral-8x7B,16,1,1,8,2,8,1,1,16,1,True,41.71,22.44,4.15,8.25,0.00,6.88,0.00,0.00,0.39%
128,256k,Mixtral-8x7B,16,1,1,4,4,4,2,1,8,1,True,56.05,20.56,4.24,17.50,0.00,13.75,0.00,0.00,4.48%
128,256k,Mixtral-8x7B,16,1,1,8,4,2,2,1,8,1,True,56.18,36.31,4.24,8.75,0.00,6.88,0.00,0.00,4.48%
128,256k,Mixtral-8x7B,16,1,1,8,2,4,2,1,16,1,True,57.46,38.19,4.15,8.25,0.00,6.88,0.00,0.00,0.78%
128,256k,Mixtral-8x7B,16,1,1,8,1,8,2,1,1,32,True,60.92,41.94,4.10,8.00,0.00,6.88,0.00,0.00,0.00%
128,256k,Mixtral-8x22B,16,1,8,2,8,1,1,16,7,1,False,61.37,12.79,12.79,32.98,0.98,0.00,0.00,1.83,0.39%
128,256k,Mixtral-8x22B,16,1,8,2,8,1,1,8,7,1,False,63.86,12.79,12.79,36.64,0.98,0.00,0.00,0.66,0.78%
128,256k,Mixtral-8x22B,16,1,8,4,4,1,1,8,14,1,False,70.96,25.04,12.52,30.88,0.98,0.00,0.00,1.55,0.17%
128,256k,Mixtral-8x22B,16,1,8,4,4,1,1,4,14,1,False,71.27,25.04,12.52,32.45,0.98,0.00,0.00,0.28,0.33%
128,256k,Mixtral-8x22B,16,1,4,4,8,1,1,16,7,1,False,74.17,25.59,12.79,32.98,0.98,0.00,0.00,1.83,0.39%
128,256k,Mixtral-8x7B,16,1,8,2,8,1,1,16,4,1,False,27.42,4.42,4.42,16.76,0.98,0.00,0.00,0.84,0.68%
128,256k,Mixtral-8x7B,16,1,8,4,4,1,1,8,8,1,False,29.39,8.48,4.24,15.04,0.98,0.00,0.00,0.66,0.29%
128,256k,Mixtral-8x7B,16,1,8,1,16,1,1,32,2,1,False,29.58,2.39,4.79,20.20,0.98,0.00,0.00,1.22,1.44%
128,256k,Mixtral-8x7B,16,1,8,2,8,1,1,8,4,1,False,30.03,4.42,4.42,19.77,0.98,0.00,0.00,0.44,1.35%
128,256k,Mixtral-8x7B,16,1,8,4,4,1,1,4,8,1,False,30.21,8.48,4.24,16.33,0.98,0.00,0.00,0.19,0.58%
128,256k,Mixtral-8x7B,16,1,4,4,8,1,1,16,4,1,False,31.85,8.84,4.42,16.76,0.98,0.00,0.00,0.84,0.68%
128,256k,Mixtral-8x7B,16,1,4,2,16,1,1,32,2,1,False,31.97,4.79,4.79,20.20,0.98,0.00,0.00,1.22,1.44%
128,256k,Mixtral-8x7B,16,1,4,4,8,1,1,8,4,1,False,34.45,8.84,4.42,19.77,0.98,0.00,0.00,0.44,1.35%
128,256k,Mixtral-8x7B,16,1,8,1,16,1,1,16,2,1,False,35.74,2.39,4.79,26.64,0.98,0.00,0.00,0.94,2.85%
128,256k,Mixtral-8x7B,16,1,2,4,16,1,1,32,2,1,False,36.76,9.58,4.79,20.20,0.98,0.00,0.00,1.22,1.44%
128,256k,Mixtral-8x7B,16,1,4,8,4,1,1,8,8,1,False,37.87,16.95,4.24,15.04,0.98,0.00,0.00,0.66,0.29%
128,256k,Mixtral-8x7B,16,1,4,2,16,1,1,16,2,1,False,38.13,4.79,4.79,26.64,0.98,0.00,0.00,0.94,2.85%
128,256k,Mixtral-8x7B,16,1,4,1,32,1,1,64,1,1,False,38.30,2.76,5.52,27.07,0.98,0.00,0.00,1.97,2.94%
128,256k,Mixtral-8x7B,16,1,4,8,4,1,1,4,8,1,False,38.69,16.95,4.24,16.33,0.98,0.00,0.00,0.19,0.58%
128,256k,Mixtral-8x7B,16,1,2,8,8,1,1,16,4,1,False,40.69,17.69,4.42,16.76,0.98,0.00,0.00,0.84,0.68%
128,256k,Mixtral-8x7B,16,1,2,2,32,1,1,64,1,1,False,41.06,5.52,5.52,27.07,0.98,0.00,0.00,1.97,2.94%
128,256k,Mixtral-8x7B,16,1,2,4,16,1,1,16,2,1,False,42.92,9.58,4.79,26.64,0.98,0.00,0.00,0.94,2.85%
128,256k,Mixtral-8x7B,16,1,2,8,8,1,1,8,4,1,False,43.29,17.69,4.42,19.77,0.98,0.00,0.00,0.44,1.35%
